path,file_name,exp_id,sensor,frequency,activity_id,activity,activity_details
DataSet2/User25/316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,316,Accelerometer,100.000Hz,5,While sitting,"Moving head, body"
DataSet2/User25/321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,321,Accelerometer,100.000Hz,11,Standing,Taking stairs
DataSet2/User25/318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,318,Gyroscope,100.000Hz,7,Sitting,Stand up from sitting
DataSet2/User25/316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,316,Gyroscope,100.000Hz,5,While sitting,"Moving head, body"
DataSet2/User25/315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,315,Gyroscope,100.000Hz,4,Using computer,Browsing
DataSet2/User25/315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,315,Magnetometer,20.000Hz,4,Using computer,Browsing
DataSet2/User25/316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,316,Magnetometer,20.000Hz,5,While sitting,"Moving head, body"
DataSet2/User25/317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,317,Magnetometer,20.000Hz,6,While sitting,Moving chair
DataSet2/User25/313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,313,Pressure,7.330Hz,2,Sitting,Writing in a notebook
DataSet2/User25/322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,322,Pressure,7.330Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
DataSet2/User25/320_MetaWear_2021-08-01T15.06.24.158_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,320_MetaWear_2021-08-01T15.06.24.158_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,320,Magnetometer,20.000Hz,10,Standing,Running
DataSet2/User25/316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,316,Pressure,7.330Hz,5,While sitting,"Moving head, body"
DataSet2/User25/318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,318,Magnetometer,20.000Hz,7,Sitting,Stand up from sitting
DataSet2/User25/320_MetaWear_2021-08-01T15.06.24.158_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,320_MetaWear_2021-08-01T15.06.24.158_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,320,Gyroscope,100.000Hz,10,Standing,Running
DataSet2/User25/323_MetaWear_2021-08-01T15.17.24.664_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,323_MetaWear_2021-08-01T15.17.24.664_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,323,Accelerometer,100.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
DataSet2/User25/321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,321,Magnetometer,20.000Hz,11,Standing,Taking stairs
DataSet2/User25/319_MetaWear_2021-08-01T15.02.56.318_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,319_MetaWear_2021-08-01T15.02.56.318_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,319,Pressure,7.330Hz,8,Standing,Standing
DataSet2/User25/323_MetaWear_2021-08-01T15.17.24.664_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,323_MetaWear_2021-08-01T15.17.24.664_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,323,Magnetometer,20.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
DataSet2/User25/321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,321,Pressure,7.330Hz,11,Standing,Taking stairs
DataSet2/User25/324_MetaWear_2021-08-01T15.22.15.517_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,324_MetaWear_2021-08-01T15.22.15.517_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,324,Gyroscope,100.000Hz,14,Sitting,Pick up items from floor
DataSet2/User25/312_MetaWear_2021-08-01T14.37.58.864_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,312_MetaWear_2021-08-01T14.37.58.864_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,312,Pressure,7.330Hz,1,Sitting,Reading a book
DataSet2/User25/321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Gyroscope_25.000Hz_1.5.1.csv,321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Gyroscope_25.000Hz_1.5.1.csv,321,Gyroscope,25.000Hz,11,Standing,Taking stairs
DataSet2/User25/322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,322,Magnetometer,20.000Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
DataSet2/User25/313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,313,Gyroscope,100.000Hz,2,Sitting,Writing in a notebook
DataSet2/User25/315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,315,Pressure,7.330Hz,4,Using computer,Browsing
DataSet2/User25/319_MetaWear_2021-08-01T15.02.56.318_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,319_MetaWear_2021-08-01T15.02.56.318_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,319,Accelerometer,100.000Hz,8,Standing,Standing
DataSet2/User25/318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,318,Accelerometer,100.000Hz,7,Sitting,Stand up from sitting
DataSet2/User25/312_MetaWear_2021-08-01T14.37.58.864_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,312_MetaWear_2021-08-01T14.37.58.864_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,312,Accelerometer,100.000Hz,1,Sitting,Reading a book
DataSet2/User25/314_MetaWear_2021-08-01T14.45.33.348_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,314_MetaWear_2021-08-01T14.45.33.348_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,314,Pressure,7.330Hz,3,Using computer,Typing
DataSet2/User25/314_MetaWear_2021-08-01T14.45.33.348_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,314_MetaWear_2021-08-01T14.45.33.348_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,314,Magnetometer,20.000Hz,3,Using computer,Typing
DataSet2/User25/319_MetaWear_2021-08-01T15.02.56.318_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,319_MetaWear_2021-08-01T15.02.56.318_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,319,Gyroscope,100.000Hz,8,Standing,Standing
DataSet2/User25/320_MetaWear_2021-08-01T15.06.24.158_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,320_MetaWear_2021-08-01T15.06.24.158_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,320,Accelerometer,100.000Hz,10,Standing,Running
DataSet2/User25/323_MetaWear_2021-08-01T15.17.24.664_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,323_MetaWear_2021-08-01T15.17.24.664_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,323,Pressure,7.330Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
DataSet2/User25/319_MetaWear_2021-08-01T15.02.56.318_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,319_MetaWear_2021-08-01T15.02.56.318_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,319,Magnetometer,20.000Hz,8,Standing,Standing
DataSet2/User25/315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,315,Accelerometer,100.000Hz,4,Using computer,Browsing
DataSet2/User25/313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,313,Magnetometer,20.000Hz,2,Sitting,Writing in a notebook
DataSet2/User25/317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,317,Gyroscope,100.000Hz,6,While sitting,Moving chair
