,path,file_name,exp_id,sensor,frequency,activity_id,activity,activity_details
0,DataSet2/User25/316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,316,Accelerometer,100.000Hz,5,While sitting,"Moving head, body"
1,DataSet2/User25/321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,321_MetaWear_2021-08-01T15.09.34.379_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,321,Accelerometer,100.000Hz,11,Standing,Taking stairs
2,DataSet2/User25/318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,318,Gyroscope,100.000Hz,7,Sitting,Stand up from sitting
4,DataSet2/User25/316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,316,Gyroscope,100.000Hz,5,While sitting,"Moving head, body"
5,DataSet2/User25/315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,315,Gyroscope,100.000Hz,4,Using computer,Browsing
6,DataSet2/User25/315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,315_MetaWear_2021-08-01T14.48.37.034_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,315,Magnetometer,20.000Hz,4,Using computer,Browsing
7,DataSet2/User25/316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,316_MetaWear_2021-08-01T14.52.00.189_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,316,Magnetometer,20.000Hz,5,While sitting,"Moving head, body"
8,DataSet2/User25/317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,317,Magnetometer,20.000Hz,6,While sitting,Moving chair
9,DataSet2/User25/313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,313,Pressure,7.330Hz,2,Sitting,Writing in a notebook
10,DataSet2/User25/322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,322,Pressure,7.330Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
